id,name,type,location,criticality,owner,description,ip_address,os,software,processes,dependencies
IT-00037,Serveur de Bases de Données - Busan,Serveur de Bases de Données,"Busan, Corée du Sud",medium,Direction Logistique,Serveur de Bases de Données hébergeant des applications critiques pour Planification des Itinéraires. Stocke les données des clients. Capacité: 1 To.,192.168.48.160,N/A,Oracle Database 19c,"Sécurité et Conformité, Communication Interne, Gestion des Clients",IT-00006
IT-00038,Serveur - Nantes,Serveur,"Nantes, France",medium,Direction IT,Serveur hébergeant des applications critiques pour Douanes et Réglementations. Exécute PostgreSQL.,192.168.26.25,Linux (Ubuntu 20.04),Oracle Database,"Gestion des Flottes, Analyse des Risques","IT-00007, IT-00007, IT-00002"
IT-00039,Serveur de Fichiers - Yokohama,Serveur de Fichiers,"Yokohama, Japon",low,Direction Opérations,Serveur de Fichiers utilisé pour Sécurité et Conformité.,192.168.12.252,N/A,Samba,Suivi des Cargaisons,
IT-00040,Pare-feu - Le Havre,Pare-feu,"Le Havre, France",medium,Direction Financière,Pare-feu assurant la connectivité du réseau. Modèle: FortiGate 2000E.,192.168.255.80,FortiOS 7.4,FortiGate 2000E,"Communication Interne, Gestion des Clients, Gestion des Équipages",IT-00010
IT-00041,Imprimante Réseau - Tokyo,Imprimante Réseau,"Tokyo, Japon",medium,Direction Logistique,Imprimante Réseau utilisé pour Gestion des Flottes.,192.168.15.67,N/A,N/A,"Approvisionnement, Maintenance des Navires","IT-00040, IT-00037, IT-00016"
IT-00042,Serveur de Sauvegarde - New York,Serveur de Sauvegarde,"New York, États-Unis",critical,Direction Opérations,Serveur de Sauvegarde utilisé pour Suivi des Cargaisons.,192.168.63.221,N/A,Veeam Backup,"Finance et Comptabilité, Sécurité et Conformité",IT-00015
IT-00043,Serveur de Fichiers - Dubaï,Serveur de Fichiers,"Dubaï, Émirats Arabes Unis",low,Direction Financière,Serveur de Fichiers utilisé pour Sécurité et Conformité.,192.168.131.133,N/A,Samba,"Gestion des Flottes, Approvisionnement","IT-00007, IT-00020, IT-00025"
IT-00044,Station de Travail - Le Havre,Station de Travail,"Le Havre, France",medium,Direction RH,Station de Travail utilisé pour Gestion des Flottes.,192.168.236.6,N/A,N/A,Analyse des Risques,"IT-00035, IT-00017, IT-00002"
IT-00045,Équipement Réseau - Busan,Équipement Réseau,"Busan, Corée du Sud",medium,Direction Opérations,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.30.214,FortiOS 7.4,Cisco IOS,"Douanes et Réglementations, Gestion des Flottes",IT-00012
IT-00046,Portique Numérique - Ningbo,Portique Numérique,"Ningbo, Chine",medium,Direction Opérations,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.168.83,Embedded Linux,Système de Contrôle Kalmar,"Approvisionnement, Suivi des Cargaisons, Ressources Humaines",
IT-00047,Scanneur de Code-Barre - Nantes,Scanneur de Code-Barre,"Nantes, France",high,Direction IT,Scanneur de Code-Barre utilisé pour Gestion des Équipages.,N/A,N/A,Zebra DS9908,"Gestion des Stocks, Gestion des Flottes",
IT-00048,Serveur de Sauvegarde - Busan,Serveur de Sauvegarde,"Busan, Corée du Sud",high,Direction Financière,Serveur de Sauvegarde utilisé pour Analyse des Risques.,192.168.82.204,N/A,Veeam Backup,Sécurité et Conformité,"IT-00033, IT-00024"
IT-00049,Poste de Travail Portable - Busan,Poste de Travail Portable,"Busan, Corée du Sud",medium,Direction RH,Poste de Travail Portable utilisé pour Finance et Comptabilité. Configuré avec Microsoft Office 365.,192.168.157.111,Windows 11 Entreprise,Microsoft Office 365,Suivi des Cargaisons,"IT-00039, IT-00002, IT-00030"
IT-00050,Serveur Web - Hambourg,Serveur Web,"Hambourg, Allemagne",high,Direction Logistique,Serveur Web utilisé pour Gestion des Réservations.,192.168.239.112,N/A,Nginx,"Analyse des Risques, Approvisionnement, Gestion des Clients","IT-00028, IT-00034, IT-00029"
IT-00051,Serveur - Yokohama,Serveur,"Yokohama, Japon",low,Direction Financière,Serveur hébergeant des applications critiques pour Communication Interne. Exécute Oracle Database.,192.168.226.172,Windows Server 2022,PostgreSQL,"Analyse des Risques, Communication Interne, Gestion des Clients",IT-00003
IT-00052,Imprimante Réseau - Singapour,Imprimante Réseau,"Singapour, Singapour",medium,Direction Logistique,Imprimante Réseau utilisé pour Approvisionnement.,192.168.197.55,N/A,N/A,"Planification des Itinéraires, Analyse des Risques, Gestion des Équipages","IT-00016, IT-00022, IT-00021"
IT-00053,Poste de Travail - Brême,Poste de Travail,"Brême, Allemagne",medium,Direction Opérations,Poste de Travail utilisé pour Suivi des Cargaisons. Configuré avec Microsoft Office 365.,192.168.85.51,Windows 11 Entreprise,PuTTY,"Analyse des Risques, Ressources Humaines, Sécurité et Conformité","IT-00049, IT-00016"
IT-00054,Portique Numérique - Shanghai,Portique Numérique,"Shanghai, Chine",critical,Direction Financière,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.95.93,Embedded Linux,Système de Contrôle Kalmar,"Approvisionnement, Gestion des Équipages","IT-00051, IT-00030, IT-00027"
IT-00055,Serveur de Bases de Données - Brême,Serveur de Bases de Données,"Brême, Allemagne",low,Direction IT,Serveur de Bases de Données hébergeant des applications critiques pour Planification des Itinéraires. Stocke les données des cargaisons. Capacité: 1 To.,192.168.34.180,N/A,Oracle Database 19c,Sécurité et Conformité,"IT-00035, IT-00010, IT-00012"
IT-00056,Serveur - Dubaï,Serveur,"Dubaï, Émirats Arabes Unis",medium,Direction IT,Serveur hébergeant des applications critiques pour Planification des Itinéraires. Exécute PostgreSQL.,192.168.164.189,Linux (Ubuntu 20.04),PostgreSQL,Gestion des Réservations,"IT-00033, IT-00046, IT-00007"
IT-00057,Poste de Travail Portable - Dubaï,Poste de Travail Portable,"Dubaï, Émirats Arabes Unis",low,Direction RH,Poste de Travail Portable utilisé pour Suivi des Cargaisons. Configuré avec Microsoft Office 365.,192.168.242.202,Windows 11 Entreprise,Microsoft Office 365,"Gestion des Flottes, Approvisionnement",
IT-00058,Portique Numérique - Houston,Portique Numérique,"Houston, États-Unis",high,Direction Logistique,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.4.215,Embedded Linux,Système de Contrôle Kalmar,"Gestion des Réservations, Sécurité et Conformité, Gestion des Clients","IT-00018, IT-00026, IT-00003"
IT-00059,Station de Travail - Rotterdam,Station de Travail,"Rotterdam, Pays-Bas",medium,Direction Opérations,Station de Travail utilisé pour Communication Interne.,192.168.163.47,N/A,N/A,"Maintenance des Navires, Ressources Humaines, Planification des Itinéraires",IT-00044
IT-00060,Poste de Travail Portable - Marseille,Poste de Travail Portable,"Marseille, France",high,Direction Logistique,Poste de Travail Portable utilisé pour Gestion des Flottes. Configuré avec Microsoft Office 365.,192.168.14.93,Windows 11 Entreprise,Microsoft Office 365,Gestion des Réservations,
IT-00061,Switch - Brême,Switch,"Brême, Allemagne",medium,Direction Logistique,Switch assurant la connectivité du réseau. Modèle: Cisco Catalyst 9000.,192.168.27.81,Cisco Catalyst 9000,Cisco Catalyst 9000,"Finance et Comptabilité, Planification des Itinéraires, Suivi des Cargaisons","IT-00013, IT-00010, IT-00034"
IT-00062,Imprimante Réseau - Dubaï,Imprimante Réseau,"Dubaï, Émirats Arabes Unis",medium,Direction Logistique,Imprimante Réseau utilisé pour Gestion des Clients.,192.168.33.12,N/A,N/A,Approvisionnement,"IT-00044, IT-00055, IT-00043"
IT-00063,Terminal d'Impression - Shanghai,Terminal d'Impression,"Shanghai, Chine",high,Direction Opérations,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.114.35,N/A,Firmware Xerox v5.2,"Gestion des Réservations, Finance et Comptabilité, Suivi des Cargaisons","IT-00058, IT-00030, IT-00016"
IT-00064,Serveur - Busan,Serveur,"Busan, Corée du Sud",medium,Direction IT,Serveur hébergeant des applications critiques pour Maintenance des Navires. Exécute SAP ERP.,192.168.27.179,Windows Server 2022,Oracle Database,"Analyse des Risques, Gestion des Stocks, Gestion des Flottes",IT-00002
IT-00065,Équipement Réseau - Busan,Équipement Réseau,"Busan, Corée du Sud",high,Direction RH,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.177.24,FortiOS 7.4,Cisco IOS,"Gestion des Stocks, Gestion des Flottes","IT-00047, IT-00010"
IT-00066,Serveur - Ningbo,Serveur,"Ningbo, Chine",high,Direction Financière,Serveur hébergeant des applications critiques pour Maintenance des Navires. Exécute PostgreSQL.,192.168.155.49,Linux (Ubuntu 20.04),SAP ERP,"Maintenance des Navires, Gestion des Réservations",
IT-00067,Serveur de Bases de Données - Dubaï,Serveur de Bases de Données,"Dubaï, Émirats Arabes Unis",high,Direction Opérations,Serveur de Bases de Données hébergeant des applications critiques pour Analyse des Risques. Stocke les données des cargaisons. Capacité: 3 To.,192.168.66.172,N/A,Oracle Database 19c,Communication Interne,IT-00010
IT-00068,Équipement Réseau - New York,Équipement Réseau,"New York, États-Unis",high,Direction RH,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.54.246,Cisco IOS,Cisco IOS,"Douanes et Réglementations, Maintenance des Navires, Communication Interne",IT-00017
IT-00069,Station de Travail - Rio de Janeiro,Station de Travail,"Rio de Janeiro, Brésil",medium,Direction Logistique,Station de Travail utilisé pour Finance et Comptabilité.,192.168.227.10,N/A,N/A,Gestion des Stocks,IT-00043
IT-00070,Serveur Web - Tokyo,Serveur Web,"Tokyo, Japon",medium,Direction RH,Serveur Web utilisé pour Gestion des Flottes.,192.168.218.20,N/A,Apache HTTP Server,"Planification des Itinéraires, Suivi des Cargaisons, Analyse des Risques","IT-00012, IT-00002, IT-00054"
IT-00071,Station de Travail - New York,Station de Travail,"New York, États-Unis",medium,Direction IT,Station de Travail utilisé pour Suivi des Cargaisons.,192.168.206.218,N/A,N/A,Approvisionnement,"IT-00026, IT-00016"
IT-00072,Imprimante Réseau - Yokohama,Imprimante Réseau,"Yokohama, Japon",medium,Direction IT,Imprimante Réseau utilisé pour Ressources Humaines.,192.168.210.252,N/A,N/A,"Ressources Humaines, Douanes et Réglementations","IT-00059, IT-00068, IT-00004"
IT-00073,Serveur - Yokohama,Serveur,"Yokohama, Japon",high,Direction Financière,Serveur hébergeant des applications critiques pour Suivi des Cargaisons. Exécute Oracle Database.,192.168.142.125,Windows Server 2022,Oracle Database,"Approvisionnement, Ressources Humaines",IT-00011
IT-00074,Serveur Applicatif - Amsterdam,Serveur Applicatif,"Amsterdam, Pays-Bas",medium,Direction Opérations,Serveur Applicatif hébergeant des applications critiques pour Gestion des Clients. Exécute Docker.,192.168.10.37,N/A,Docker,Analyse des Risques,"IT-00022, IT-00052"
IT-00075,Serveur de Fichiers - Tokyo,Serveur de Fichiers,"Tokyo, Japon",medium,Direction Logistique,Serveur de Fichiers utilisé pour Gestion des Réservations.,192.168.248.171,N/A,Samba,"Communication Interne, Maintenance des Navires, Gestion des Flottes","IT-00067, IT-00068, IT-00037"
IT-00076,Serveur de Sauvegarde - Singapour,Serveur de Sauvegarde,"Singapour, Singapour",high,Direction Opérations,Serveur de Sauvegarde utilisé pour Douanes et Réglementations.,192.168.247.66,N/A,Veeam Backup,"Gestion des Flottes, Ressources Humaines, Planification des Itinéraires","IT-00055, IT-00061"
IT-00077,Douchette de Lecture - New York,Douchette de Lecture,"New York, États-Unis",medium,Direction Financière,Douchette pour la lecture des codes-barres. Modèle: Honeywell Voyager 1450g.,N/A,N/A,Honeywell Voyager 1450g,"Gestion des Clients, Maintenance des Navires, Suivi des Cargaisons","IT-00061, IT-00014, IT-00048"
IT-00078,Serveur - Dubaï,Serveur,"Dubaï, Émirats Arabes Unis",medium,Direction RH,Serveur hébergeant des applications critiques pour Gestion des Clients. Exécute Oracle Database.,192.168.88.44,Windows Server 2022,SAP ERP,Communication Interne,
IT-00079,Poste de Travail - Yokohama,Poste de Travail,"Yokohama, Japon",high,Direction Opérations,Poste de Travail utilisé pour Approvisionnement. Configuré avec Microsoft Office 365.,192.168.151.143,macOS Monterey,PuTTY,Gestion des Clients,"IT-00077, IT-00024"
IT-00080,Serveur - Santos,Serveur,"Santos, Brésil",low,Direction RH,Serveur hébergeant des applications critiques pour Gestion des Équipages. Exécute Oracle Database.,192.168.221.247,Windows Server 2022,Oracle Database,Ressources Humaines,
IT-00081,Douchette de Lecture - Tokyo,Douchette de Lecture,"Tokyo, Japon",medium,Direction Logistique,Douchette pour la lecture des codes-barres. Modèle: Honeywell Voyager 1450g.,N/A,N/A,Honeywell Voyager 1450g,"Finance et Comptabilité, Ressources Humaines, Approvisionnement",
IT-00082,Serveur - Santos,Serveur,"Santos, Brésil",high,Direction Logistique,Serveur hébergeant des applications critiques pour Douanes et Réglementations. Exécute PostgreSQL.,192.168.175.46,Linux (Ubuntu 20.04),Oracle Database,Douanes et Réglementations,"IT-00046, IT-00071"
IT-00083,Switch - Busan,Switch,"Busan, Corée du Sud",medium,Direction Logistique,Switch assurant la connectivité du réseau. Modèle: Cisco Catalyst 9000.,192.168.30.172,Cisco Catalyst 9000,Cisco Catalyst 9000,"Communication Interne, Planification des Itinéraires","IT-00079, IT-00031"
IT-00084,Station de Travail - Santos,Station de Travail,"Santos, Brésil",medium,Direction Opérations,Station de Travail utilisé pour Douanes et Réglementations.,192.168.42.188,N/A,N/A,"Suivi des Cargaisons, Finance et Comptabilité, Maintenance des Navires","IT-00006, IT-00041"
IT-00085,Portique Numérique - Busan,Portique Numérique,"Busan, Corée du Sud",medium,Direction Opérations,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.214.255,Embedded Linux,Système de Contrôle Kalmar,Maintenance des Navires,IT-00023
IT-00086,Équipement Réseau - Houston,Équipement Réseau,"Houston, États-Unis",medium,Direction Opérations,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.67.159,FortiOS 7.4,Cisco IOS,Communication Interne,"IT-00058, IT-00018"
IT-00087,Serveur Web - Rotterdam,Serveur Web,"Rotterdam, Pays-Bas",medium,Direction Logistique,Serveur Web utilisé pour Maintenance des Navires.,192.168.233.169,N/A,Nginx,"Communication Interne, Maintenance des Navires",
IT-00088,Serveur - Dubaï,Serveur,"Dubaï, Émirats Arabes Unis",medium,Direction IT,Serveur hébergeant des applications critiques pour Suivi des Cargaisons. Exécute PostgreSQL.,192.168.155.155,Windows Server 2022,SAP ERP,Gestion des Réservations,"IT-00045, IT-00073, IT-00048"
IT-00089,Portique Numérique - Singapour,Portique Numérique,"Singapour, Singapour",medium,Direction Opérations,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.114.227,Embedded Linux,Système de Contrôle Kalmar,Gestion des Réservations,"IT-00067, IT-00070, IT-00053"
IT-00090,Terminal d'Impression - Brême,Terminal d'Impression,"Brême, Allemagne",medium,Direction Opérations,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.58.47,N/A,Firmware Xerox v5.2,"Gestion des Réservations, Gestion des Stocks, Approvisionnement","IT-00024, IT-00028"
IT-00091,Imprimante Réseau - Los Angeles,Imprimante Réseau,"Los Angeles, États-Unis",medium,Direction RH,Imprimante Réseau utilisé pour Analyse des Risques.,192.168.206.104,N/A,N/A,Douanes et Réglementations,"IT-00020, IT-00043"
IT-00092,Serveur - Rio de Janeiro,Serveur,"Rio de Janeiro, Brésil",high,Direction Opérations,Serveur hébergeant des applications critiques pour Douanes et Réglementations. Exécute SAP ERP.,192.168.119.176,Linux (Ubuntu 20.04),Oracle Database,"Sécurité et Conformité, Gestion des Flottes","IT-00025, IT-00088, IT-00031"
IT-00093,Serveur Web - Le Havre,Serveur Web,"Le Havre, France",critical,Direction Logistique,Serveur Web utilisé pour Maintenance des Navires.,192.168.240.161,N/A,Nginx,Gestion des Équipages,"IT-00033, IT-00031, IT-00028"
IT-00094,Serveur Web - Brême,Serveur Web,"Brême, Allemagne",medium,Direction RH,Serveur Web utilisé pour Suivi des Cargaisons.,192.168.153.95,N/A,Nginx,Communication Interne,"IT-00093, IT-00020, IT-00092"
IT-00095,Imprimante Réseau - Dubaï,Imprimante Réseau,"Dubaï, Émirats Arabes Unis",medium,Direction Logistique,Imprimante Réseau utilisé pour Approvisionnement.,192.168.49.215,N/A,N/A,"Suivi des Cargaisons, Ressources Humaines",
IT-00096,Scanneur de Code-Barre - Rotterdam,Scanneur de Code-Barre,"Rotterdam, Pays-Bas",low,Direction Financière,Scanneur de Code-Barre utilisé pour Sécurité et Conformité.,N/A,N/A,Zebra DS9908,"Finance et Comptabilité, Analyse des Risques","IT-00086, IT-00088"
IT-00097,Serveur Web - Singapour,Serveur Web,"Singapour, Singapour",critical,Direction IT,Serveur Web utilisé pour Planification des Itinéraires.,192.168.174.8,N/A,Apache HTTP Server,"Sécurité et Conformité, Gestion des Clients, Gestion des Équipages",IT-00023
IT-00098,Équipement Réseau - Ningbo,Équipement Réseau,"Ningbo, Chine",high,Direction Financière,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.227.84,Cisco IOS,Cisco IOS,"Finance et Comptabilité, Gestion des Réservations, Gestion des Clients","IT-00027, IT-00033, IT-00058"
IT-00099,Terminal d'Impression - Dunkerque,Terminal d'Impression,"Dunkerque, France",high,Direction RH,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.150.188,N/A,Firmware Xerox v5.2,Gestion des Équipages,"IT-00011, IT-00098, IT-00038"
IT-00100,Terminal d'Impression - Singapour,Terminal d'Impression,"Singapour, Singapour",high,Direction RH,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.218.235,N/A,Firmware Xerox v5.2,Analyse des Risques,"IT-00071, IT-00080, IT-00040"
